Minute,Stor_O4L23,Stor_O4L28,Stor_O4L32,Stor_O4L33,Stor_O4L47,Stor_O3L53,Stor_O3L55,Stor_O3L60,Stor_O3L66,Stor_O3L67,Stor_O3L68,Stor_O3L73,Stor_O2L84,Stor_O2L88,Stor_O2L89,Stor_O2L100,Stor_O2L110,Stor_O1L130
1,-0.02,-0.02,0.064703832,0.072869251,-0.02,0.203754263,0.182480995,0.205586924,0.085189965,0.151617962,-0.006354001,-0.02,0.146472742,0.087973582,-0.02,0.079031812,0.052958043,0.061753839
2,-0.02,-0.02,0.064703832,0.072869251,-0.02,0.203754263,0.182480995,0.205586924,0.085189965,0.151617962,-0.006354001,-0.02,0.146472742,0.087973582,-0.02,0.079031812,0.052958043,0.061753839
3,-0.02,-0.02,0.064703832,0.072869251,-0.02,0.203754263,0.182480995,0.205586924,0.085189965,0.151617962,-0.006354001,-0.02,0.146472742,0.087973582,-0.02,0.079031812,0.052958043,0.061753839
4,-0.02,-0.02,0.064703832,0.072869251,-0.02,0.203754263,0.182480995,0.205586924,0.085189965,0.151617962,-0.006354001,-0.02,0.146472742,0.087973582,-0.02,0.079031812,0.052958043,0.061753839
5,-0.02,-0.02,0.064703832,0.072869251,-0.02,0.203754263,0.182480995,0.205586924,0.085189965,0.151617962,-0.006354001,-0.02,0.146472742,0.087973582,-0.02,0.079031812,0.052958043,0.061753839
6,-0.02,-0.02,0.064703832,0.072869251,-0.02,0.203754263,0.182480995,0.205586924,0.085189965,0.151617962,-0.006354001,-0.02,0.146472742,0.087973582,-0.02,0.079031812,0.052958043,0.061753839
7,-0.02,-0.02,0.064703832,0.072869251,-0.02,0.203754263,0.182480995,0.205586924,0.085189965,0.151617962,-0.006354001,-0.02,0.146472742,0.087973582,-0.02,0.079031812,0.052958043,0.061753839
8,-0.02,-0.02,0.064703832,0.072869251,-0.02,0.203754263,0.182480995,0.205586924,0.085189965,0.151617962,-0.006354001,-0.02,0.146472742,0.087973582,-0.02,0.079031812,0.052958043,0.061753839
9,-0.02,-0.02,0.064703832,0.072869251,-0.02,0.203754263,0.182480995,0.205586924,0.085189965,0.151617962,-0.006354001,-0.02,0.146472742,0.087973582,-0.02,0.079031812,0.052958043,0.061753839
10,-0.02,-0.02,0.064703832,0.072869251,-0.02,0.203754263,0.182480995,0.205586924,0.085189965,0.151617962,-0.006354001,-0.02,0.146472742,0.087973582,-0.02,0.079031812,0.052958043,0.061753839
11,-0.02,-0.02,0.064703832,0.072869251,-0.02,0.203754263,0.182480995,0.205586924,0.085189965,0.151617962,-0.006354001,-0.02,0.146472742,0.087973582,-0.02,0.079031812,0.052958043,0.061753839
12,-0.02,-0.02,0.064703832,0.072869251,-0.02,0.203754263,0.182480995,0.205586924,0.085189965,0.151617962,-0.006354001,-0.02,0.146472742,0.087973582,-0.02,0.079031812,0.052958043,0.061753839
13,-0.02,-0.02,0.064703832,0.072869251,-0.02,0.203754263,0.182480995,0.205586924,0.085189965,0.151617962,-0.006354001,-0.02,0.146472742,0.087973582,-0.02,0.079031812,0.052958043,0.061753839
14,-0.02,-0.02,0.064703832,0.072869251,-0.02,0.203754263,0.182480995,0.205586924,0.085189965,0.151617962,-0.006354001,-0.02,0.146472742,0.087973582,-0.02,0.079031812,0.052958043,0.061753839
15,-0.02,-0.02,0.064703832,0.072869251,-0.02,0.203754263,0.182480995,0.205586924,0.085189965,0.151617962,-0.006354001,-0.02,0.146472742,0.087973582,-0.02,0.079031812,0.052958043,0.061753839
16,-0.02,-0.02,0.064703832,0.072869251,-0.02,0.203754263,0.182480995,0.205586924,0.085189965,0.151617962,-0.006354001,-0.02,0.146472742,0.087973582,-0.02,0.079031812,0.052958043,0.061753839
17,-0.02,-0.02,0.064703832,0.072869251,-0.02,0.203754263,0.182480995,0.205586924,0.085189965,0.151617962,-0.006354001,-0.02,0.146472742,0.087973582,-0.02,0.079031812,0.052958043,0.061753839
18,-0.02,-0.02,0.064703832,0.072869251,-0.02,0.203754263,0.182480995,0.205586924,0.085189965,0.151617962,-0.006354001,-0.02,0.146472742,0.087973582,-0.02,0.079031812,0.052958043,0.061753839
19,-0.02,-0.02,0.064703832,0.072869251,-0.02,0.203754263,0.182480995,0.205586924,0.085189965,0.151617962,-0.006354001,-0.02,0.146472742,0.087973582,-0.02,0.079031812,0.052958043,0.061753839
20,-0.02,-0.02,0.064703832,0.072869251,-0.02,0.203754263,0.182480995,0.205586924,0.085189965,0.151617962,-0.006354001,-0.02,0.146472742,0.087973582,-0.02,0.079031812,0.052958043,0.061753839
