"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase", "I1(A)", "I2(A)", "I3(A)"
10.6333333333333, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 100.233250158391, 73.5043834494867, 11.5470053837925, 12.1250787346225, 12.025821867351, 12.0823313808061 
10.65, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 100.526109069631, 73.7191466510624, 11.5470053837925, 12.160505475263, 12.0607225522918, 12.1174598820408 
10.6666666666667, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 100.915541598018, 74.0047305052134, 11.5470053837925, 12.2076145938545, 12.1071464420193, 12.1641998704638 
10.6833333333333, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 101.206681614582, 74.218233184027, 11.5470053837925, 12.2428334021647, 12.1399658204018, 12.1882534845243 
10.7, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 101.772225017882, 74.6329650131135, 11.5470053837925, 12.3112464116403, 12.207338345741, 12.2558802920751 
10.7166666666667, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 101.806342920348, 74.657984808255, 11.5470053837925, 12.315373607486, 12.2114062336912, 12.2599169450659 
10.7333333333333, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 102.148389610939, 74.9088190480216, 11.5470053837925, 12.3567505263006, 12.2522216532528, 12.3010034698782 
10.75, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 102.052857095551, 74.8387618700708, 11.5470053837925, 12.3451940890011, 12.2408004371712, 12.2895249390889 
10.7666666666667, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 101.671492249239, 74.5590943161083, 11.5470053837925, 12.29906090684, 12.17842724369, 12.2830945929592 
10.7833333333333, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 101.542391059367, 74.4644201102028, 11.5470053837925, 12.28344371305, 12.1630045260622, 12.2679041558165 
10.8, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 101.968600397933, 74.7769736251509, 11.5470053837925, 12.3350016719047, 12.2138560892718, 12.3190579208188 
10.8, "Line.O3S7-O3S8", 213, 600, 100.041734911875, 35.5148158937157, 0.23094010767585, 213.088895362294, 207.816717055474, 208.89168507418 
10.8, "Line.O3S8-O3S9", 213, 600, 100.135238165047, 35.5480095485917, 0.23094010767585, 213.28805729155, 208.018887990028, 209.139432914118 
10.8, "Line.O3S9-O3S11", 213, 600, 100.280695073616, 35.5996467511338, 0.23094010767585, 213.597880506803, 208.397979338373, 209.450259100433 
10.8166666666667, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 102.679738823992, 75.298475137594, 11.5470053837925, 12.4210271115023, 12.2985915875513, 12.4043535813379 
10.8166666666667, "Line.O3S7-O3S8", 213, 600, 100.732615325059, 35.7600784403959, 0.23094010767585, 214.560470642375, 209.218540178773, 210.306426405194 
10.8166666666667, "Line.O3S8-O3S9", 213, 600, 100.826049812375, 35.7932476833932, 0.23094010767585, 214.759486100359, 209.420596415722, 210.554023715592 
10.8166666666667, "Line.O3S9-O3S11", 213, 600, 100.971630944595, 35.8449289853312, 0.23094010767585, 215.069573911987, 209.799447873901, 210.864639654044 
10.8333333333333, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 103.177604308238, 75.6635764927082, 11.5470053837925, 12.4812532159757, 12.3578958004584, 12.4640257297576 
10.8333333333333, "Line.O3S3-O3S5", 213, 600, 100.158273192359, 35.5561869832876, 0.23094010767585, 213.337121899726, 207.964822610929, 208.705269553498 
10.8333333333333, "Line.O3S5-O3S7", 213, 600, 100.294397922842, 35.6045112626088, 0.23094010767585, 213.627067575653, 208.322406758713, 208.998904012364 
10.8333333333333, "Line.O3S7-O3S8", 213, 600, 101.218151542497, 35.9324437975864, 0.23094010767585, 215.594662785518, 210.20016433489, 211.297677318917 
10.8333333333333, "Line.O3S8-O3S9", 213, 600, 101.311537921001, 35.9655959619554, 0.23094010767585, 215.793575771732, 210.402136614404, 211.545165431903 
10.8333333333333, "Line.O3S9-O3S11", 213, 600, 101.457206339637, 36.0173082505711, 0.23094010767585, 216.103849503427, 210.780813657479, 211.855627696741 
10.85, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 103.253213258368, 75.7190230561365, 11.5470053837925, 12.4903995269245, 12.3935800031744, 12.4718188423013 
10.85, "Line.O3S3-O3S5", 213, 600, 100.252608217918, 35.5896759173607, 0.23094010767585, 213.538055504164, 209.358580849017, 209.887807548226 
10.85, "Line.O3S5-O3S7", 213, 600, 100.419077077854, 35.6487723626382, 0.23094010767585, 213.892634175829, 209.651165112164, 210.214110993077 
10.85, "Line.O3S7-O3S8", 213, 600, 101.091046442808, 35.8873214871967, 0.23094010767585, 215.32392892318, 211.761311686421, 212.14857025935 
10.85, "Line.O3S8-O3S9", 213, 600, 101.17407043222, 35.9167950034381, 0.23094010767585, 215.500770020628, 212.052957730274, 212.35101865116 
10.85, "Line.O3S9-O3S11", 213, 600, 101.352050662728, 35.9799779852686, 0.23094010767585, 215.879867911611, 212.362616046445, 212.695919451683 
10.8666666666667, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 103.351787397575, 75.7913107582219, 11.5470053837925, 12.502323905284, 12.4052335570252, 12.4835033749681 
10.8666666666667, "Line.LV-O3S3", 213, 600, 100.095464249776, 35.5338898086706, 0.23094010767585, 213.203338852024, 209.554590470706, 210.077630145998 
