"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase", "I1(A)", "I2(A)", "I3(A)"
300, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 101.088889722383, 74.131852463081, 11.5470053837925, 12.2285842785958, 12.0873657329391, 12.1889103689437 
1355, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 101.963779435622, 74.7734382527892, 11.5470053837925, 12.3344184867091, 12.1878769848184, 12.293918180445 
2651, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 103.296701239204, 75.750914242083, 11.5470053837925, 12.4956602082934, 12.3342897104109, 12.4544389671505 
2986, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 100.413595068695, 73.63663638371, 11.5470053837925, 12.1468948109582, 12.0088475021408, 12.1093002621858 
3275, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 105.635466562512, 77.4660088125085, 11.5470053837925, 12.7785774402708, 12.6241779843002, 12.7334704850302 
5628, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 100.878449902253, 73.9775299283192, 11.5470053837925, 12.2031276623139, 12.0624530052972, 12.1639544032612 
5915, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 101.829447607218, 74.6749282452936, 11.5470053837925, 12.3181685497532, 12.1763501139257, 12.27927717746 
6227, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 105.0128357767, 77.0094129029136, 11.5470053837925, 12.7032586484663, 12.5547942848983, 12.6607658316504 
6228, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 101.700405778615, 74.5802975709846, 11.5470053837925, 12.3025585368144, 12.1446226694768, 12.2635672119721 
6828, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 101.500120576458, 74.4334217560695, 11.5470053837925, 12.2783303107348, 12.1370258458082, 12.239327009804 
8267, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 117.839636570349, 86.4157334849227, 11.5470053837925, 14.2548991399254, 14.1317836787816, 14.1991848922447 
8267, "Line.LV-O3S3", 213, 600, 111.613175189957, 39.6226771924346, 0.23094010767585, 237.736063154607, 234.150690678875, 234.077571111406 
8267, "Line.O3S3-O3S5", 213, 600, 111.961923583051, 39.7464828719832, 0.23094010767585, 238.478897231899, 234.150692358937, 234.07757255385 
8267, "Line.O3S5-O3S7", 213, 600, 112.147612701661, 39.8124025090897, 0.23094010767585, 238.874415054538, 234.550301066319, 234.478732914848 
8267, "Line.O3S7-O3S8", 213, 600, 113.176054444061, 40.1774993276417, 0.23094010767585, 241.06499596585, 236.772993131018, 236.708678496603 
8267, "Line.O3S8-O3S9", 213, 600, 113.304732196558, 40.2231799297779, 0.23094010767585, 241.339079578668, 237.047786247707, 236.984242312102 
8267, "Line.O3S9-O3S11", 213, 600, 113.507591842892, 40.2951951042266, 0.23094010767585, 241.771170625359, 237.472921235182, 237.409876272612 
8267, "Line.O3S11-O3S12", 213, 600, 102.751760116882, 36.4768748414929, 0.23094010767585, 218.861249048958, 214.780638088894, 214.725066513102 
8267, "Line.LV-O4S4", 213, 600, 107.091372800398, 38.0174373441414, 0.23094010767585, 228.104624064849, 225.716304296378, 225.522049447879 
8268, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 107.315356276886, 78.6979279363828, 11.5470053837925, 12.9817913939247, 12.8440802356631, 12.9357513266877 
8268, "Line.O3S7-O3S8", 213, 600, 100.223260580908, 35.5792575062223, 0.23094010767585, 213.475545037334, 208.456193140198, 208.540231433178 
8268, "Line.O3S8-O3S9", 213, 600, 100.350974209522, 35.6245958443804, 0.23094010767585, 213.747575066282, 208.732591929491, 208.817239092183 
8268, "Line.O3S9-O3S11", 213, 600, 100.54943574411, 35.695049689159, 0.23094010767585, 214.170298134954, 209.156674492698, 209.24208229759 
