"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
1, 65.2204422455389, 28.4395226999102, 65.2204422455389, 71.1513354625364, 1.93061151789383, 6.42891278678015, 1.93061151789383
2, 54.5198472470841, 24.8680527222921, 65.2204422455389, 71.1513354625364, 1.54001720047023, 6.21177411938574, 1.93061151789383
3, 49.4826850796179, 23.2034916202345, 65.2204422455389, 71.1513354625364, 1.38085132188593, 6.12335768165519, 1.93061151789383
4, 46.7587661997637, 22.6171043556718, 65.2204422455389, 71.1513354625364, 1.30168581170218, 6.08034312174868, 1.93061151789383
5, 48.5310362783645, 23.3322667217301, 65.2204422455389, 71.1513354625364, 1.3530256867057, 6.10931304539022, 1.93061151789383
6, 54.8950400398733, 26.0945025106398, 65.2204422455389, 71.1513354625364, 1.55393856989358, 6.22348020956421, 1.93061151789383
7, 68.8114111152, 31.7088520185875, 68.8114111152, 75.765833962293, 2.08104749985981, 6.52199465098831, 2.08104749985981
8, 83.7931100567121, 35.0071112651926, 83.7931100567121, 90.8118006214492, 2.79813404287413, 6.9059137352319, 2.79813404287413
9, 28.46459095149, 34.7410187543121, 83.7931100567121, 90.8118006214492, 1.0969880490535, 5.96222012069889, 2.79813404287413
10, 5.8645148230401, 35.4877887182192, 83.7931100567121, 90.8118006214492, 1.0049217768531, 5.87587785197384, 2.79813404287413
11, -87.8158487453795, 37.0962206393448, 83.7931100567121, 95.3297061602223, 4.11042635521529, 7.28264379961825, 4.11042635521529
12, -92.8297550420346, 37.0231261423266, 83.7931100567121, 99.9403586671309, 4.42505574320312, 7.43564958613345, 4.42505574320312
13, -57.4620336976137, 36.2260416768294, 83.7931100567121, 99.9403586671309, 2.48204357600298, 6.51054226908472, 4.42505574320312
14, 28.2135676900853, 36.2763188809967, 83.7931100567121, 99.9403586671309, 1.12423869475321, 5.97516042593423, 4.42505574320312
15, 76.4298764850753, 38.3130591436597, 83.7931100567121, 99.9403586671309, 2.48798318967133, 6.74955942669156, 4.42505574320312
16, 111.799605332738, 42.5105014675532, 111.799605332738, 119.608923110188, 4.48282831267194, 7.82888834143796, 4.48282831267194
17, 130.369766927099, 48.9273202392521, 130.369766927099, 139.248550421253, 5.88582063133524, 8.60314079941673, 5.88582063133524
18, 145.550277188549, 54.2097898987973, 145.550277188549, 155.31768898144, 7.1945064363779, 9.32616021954441, 7.1945064363779
19, 151.517571095449, 56.2962910953762, 151.517571095449, 161.638011438399, 7.74668213598609, 9.63214200244445, 7.74668213598609
20, 154.954847517833, 57.5007282663128, 154.954847517833, 165.279576840066, 8.07376195395059, 9.81385922117783, 8.07376195395059
21, 149.074875366975, 56.0084462551608, 154.954847517833, 165.279576840066, 7.51302056013406, 9.51046059194307, 8.07376195395059
