"Hour", 20kV_Phs_1_Max, 20kV_Phs_2_Max, 20kV_Phs_3_Max, 20kV_Phs_1_Min, 20kV_Phs_2_Min, 20kV_Phs_3_Min, 20kV_Phs_1_Avg, 20kV_Phs_2_Avg, 20kV_Phs_3_Avg, 0.4kV_Phs_1_Max, 0.4kV_Phs_2_Max, 0.4kV_Phs_3_Max, 0.4kV_Phs_1_Min, 0.4kV_Phs_2_Min, 0.4kV_Phs_3_Min, 0.4kV_Phs_1_Avg, 0.4kV_Phs_2_Avg, 0.4kV_Phs_3_Avg
1, 0.999704101587918, 0.999707797785265, 0.99970596242652, 0.999704101587918, 0.999707797785265, 0.99970596242652, 0.999704101587918, 0.999707797785265, 0.99970596242652, 0.971568242537562, 0.971680220020367, 0.971926713819865, 0.939214829765668, 0.942082672106894, 0.943954548589326, 0.955678745867407, 0.957267935393216, 0.958179053541908
2, 0.999749255971653, 0.999752305319791, 0.999750759706692, 0.999749255971653, 0.999752305319791, 0.999750759706692, 0.999749255971653, 0.999752305319791, 0.999750759706692, 0.97230514061677, 0.972398417347018, 0.972603147084769, 0.945350304907298, 0.947712987690582, 0.949270748155046, 0.95907548079809, 0.960391846459924, 0.96114961662112
3, 0.999770449297344, 0.999773205546845, 0.999771799402758, 0.999770449297344, 0.999773205546845, 0.999771799402758, 0.999770449297344, 0.999773205546845, 0.999771799402758, 0.972650520365286, 0.972735001601842, 0.972920197072309, 0.948225098171005, 0.95035444202333, 0.951765409567138, 0.960671685925417, 0.961860927078474, 0.962546111081746
4, 0.999780901308837, 0.999783547416161, 0.999782189330191, 0.999780901308837, 0.999783547416161, 0.999782189330191, 0.999780901308837, 0.999783547416161, 0.999782189330191, 0.972802202094965, 0.972882563315091, 0.973058470539477, 0.949696223320165, 0.951702136516875, 0.953041406042412, 0.961511954965091, 0.962633585303982, 0.963281317609263
5, 0.999773030579105, 0.99977579710352, 0.999774378701277, 0.999773030579105, 0.99977579710352, 0.999774378701277, 0.999773030579105, 0.99977579710352, 0.999774378701277, 0.972666134780102, 0.972749810848647, 0.972933058916451, 0.948652819525921, 0.950740593054106, 0.952134398878301, 0.960941653180732, 0.962107928716942, 0.962781865682064
6, 0.999744138106977, 0.99974737170414, 0.999745724001371, 0.999744138106977, 0.99974737170414, 0.999745724001371, 0.999744138106977, 0.99974737170414, 0.999745724001371, 0.972155919899744, 0.972252057063602, 0.972462303606261, 0.944847978307223, 0.947234583300471, 0.948828973752122, 0.958879066610511, 0.960207943836475, 0.960975842279305
7, 0.999682295763917, 0.999686525316149, 0.999684407574995, 0.999682295763917, 0.999686525316149, 0.999684407574995, 0.999682295763917, 0.999686525316149, 0.999684407574995, 0.971088446716036, 0.971211594302425, 0.971480212969221, 0.936599030034709, 0.939656172536882, 0.941684754615379, 0.954389362722818, 0.956079425638248, 0.957052507645289
8, 0.999624644072129, 0.999629331047654, 0.999627004477462, 0.999624644072129, 0.999629331047654, 0.999627004477462, 0.999624644072129, 0.999629331047654, 0.999627004477462, 0.970254387988673, 0.970392638146789, 0.97071487504931, 0.928486196851069, 0.932259509588959, 0.934685222584138, 0.949648997469428, 0.951708214540541, 0.952905272682978
9, 0.99980102750971, 0.999802655766047, 0.999801083321651, 0.99980102750971, 0.999802655766047, 0.999801083321651, 0.99980102750971, 0.999802655766047, 0.999801083321651, 0.972088757544407, 0.972080140385339, 0.972248126367418, 0.955801114625978, 0.957016505448507, 0.958179328070493, 0.965195951572216, 0.965679587140494, 0.966264031618141
10, 0.999870227435112, 0.999870841609614, 0.999869513319611, 0.999870227435112, 0.999870841609614, 0.999869513319611, 0.999870227435112, 0.999870841609614, 0.999869513319611, 0.979392797694279, 0.978838190167137, 0.978835950173494, 0.96633687561347, 0.966674945093444, 0.967183598639279, 0.971411552648578, 0.971283734436482, 0.971636944687747
11, 1.00016092233937, 1.00015831804474, 1.0001580056857, 1.00016092233937, 1.00015831804474, 1.0001580056857, 1.00016092233937, 1.00015831804474, 1.0001580056857, 1.02715252314845, 1.02363419993323, 1.02199148925703, 0.975701771585294, 0.973815711355625, 0.975317735109355, 0.997131757633433, 0.994669059472511, 0.994100257520602
12, 1.00017694332268, 1.00017421040124, 1.00017395460315, 1.00017694332268, 1.00017421040124, 1.00017395460315, 1.00017694332268, 1.00017421040124, 1.00017395460315, 1.02964444285312, 1.02597530869027, 1.02425250867341, 0.975879145717421, 0.974256631297685, 0.975473605618821, 0.998517148853979, 0.995936717653492, 0.995320386844895
13, 1.00006795659616, 1.00006623562281, 1.0000656130426, 1.00006795659616, 1.00006623562281, 1.0000656130426, 1.00006795659616, 1.00006623562281, 1.0000656130426, 1.01169256113524, 1.00912094721268, 1.00800211865147, 0.973944709795437, 0.971590960165756, 0.973403055179831, 0.988869398257876, 0.987135503493679, 0.986854413510963
14, 0.999797006244305, 0.999798647993083, 0.999797014976536, 0.999797006244305, 0.999798647993083, 0.999797014976536, 0.999797006244305, 0.999798647993083, 0.999797014976536, 0.971930115619362, 0.971916562790867, 0.972089361063256, 0.955556602151485, 0.956761459101063, 0.95795133236041, 0.965098094725676, 0.965560089632756, 0.966158285227878
15, 0.999637682636678, 0.999641949335338, 0.99963959089634, 0.999637682636678, 0.999641949335338, 0.99963959089634, 0.999637682636678, 0.999641949335338, 0.99963959089634, 0.970133883863441, 0.970242393882912, 0.970554312153531, 0.931469078615732, 0.934867126296282, 0.937178482099429, 0.951355129962609, 0.953162514090131, 0.954311107392821
16, 0.999512034038547, 0.999518673560784, 0.999515604571497, 0.999512034038547, 0.999518673560784, 0.999515604571497, 0.999512034038547, 0.999518673560784, 0.999515604571497, 0.968530648379157, 0.968727328491501, 0.969161189494317, 0.912590354099163, 0.917822886838956, 0.921075506274418, 0.940890794450442, 0.943731745908267, 0.945332668103692
17, 0.999432736474393, 0.999440848041452, 0.999437187968078, 0.999432736474393, 0.999440848041452, 0.999437187968078, 0.999432736474393, 0.999440848041452, 0.999437187968078, 0.967231551984761, 0.967465993297015, 0.967982446190497, 0.901599262462434, 0.907871564985047, 0.911716566247619, 0.934892360304648, 0.938265708796147, 0.94015549053505
18, 0.999368046256628, 0.999376805366789, 0.999372995959911, 0.999368046256628, 0.999376805366789, 0.999372995959911, 0.999368046256628, 0.999376805366789, 0.999372995959911, 0.966184261806951, 0.966427950599393, 0.967006110496067, 0.89329215010608, 0.899402176986101, 0.903908508368817, 0.930096526114924, 0.933724383551943, 0.935877987663375
19, 0.999342728640782, 0.999351560991507, 0.999347619234154, 0.999342728640782, 0.999351560991507, 0.999347619234154, 0.999342728640782, 0.999351560991507, 0.999347619234154, 0.965775254366591, 0.966023896258883, 0.966614124700058, 0.890262610699132, 0.896231215224957, 0.900650897146503, 0.928249143943603, 0.931956546833896, 0.934151201779158
20, 0.999328128095246, 0.999337029351368, 0.999332983059546, 0.999328128095246, 0.999337029351368, 0.999332983059546, 0.999328128095246, 0.999337029351368, 0.999332983059546, 0.965538625809401, 0.965791638307525, 0.966388485174586, 0.888517512661223, 0.894455309128724, 0.898820613733437, 0.927182155184437, 0.930945497397956, 0.933159246874203
21, 0.999351295817005, 0.9993601436119, 0.999356218332654, 0.999351295817005, 0.9993601436119, 0.999356218332654, 0.999351295817005, 0.9993601436119, 0.999356218332654, 0.965880043607574, 0.966126797145265, 0.966713112062353, 0.891367350774185, 0.897367234151587, 0.901819989322277, 0.928973178378967, 0.932639378691816, 0.934817328266887
22, 0.999400899740945, 0.999409461774206, 0.999405661422999, 0.999400899740945, 0.999409461774206, 0.999405661422999, 0.999400899740945, 0.999409461774206, 0.999405661422999, 0.96671348528385, 0.966956968679218, 0.967505771599533, 0.89736704679276, 0.903763395800622, 0.907915065824893, 0.932509529388348, 0.936047465157825, 0.938064564212775
23, 0.999491728727286, 0.9994987353353, 0.99949552020574, 0.999491728727286, 0.9994987353353, 0.99949552020574, 0.999491728727286, 0.9994987353353, 0.99949552020574, 0.968198148571663, 0.968404217911892, 0.968859188798697, 0.909783132528414, 0.915273279419283, 0.918680904504246, 0.939355481610704, 0.942330520832526, 0.944006269378073
24, 0.999598191481859, 0.999603367624096, 0.999600907810828, 0.999598191481859, 0.999603367624096, 0.999600907810828, 0.999598191481859, 0.999603367624096, 0.999600907810828, 0.969941401907417, 0.970099260943586, 0.970446714973708, 0.924439724238205, 0.928611496532047, 0.931232643383652, 0.947391288288643, 0.949677138450875, 0.950969794631196
25, 0.999674048416431, 0.99967790957791, 0.999676044146042, 0.999674048416431, 0.99967790957791, 0.999676044146042, 0.999674048416431, 0.99967790957791, 0.999676044146042, 0.971250850613272, 0.97137433398566, 0.971647686573429, 0.934619127582207, 0.937924063767359, 0.939977942926398, 0.952911394248838, 0.954738524333356, 0.955774437776513
26, 0.999721643071305, 0.999724823348102, 0.999723260832931, 0.999721643071305, 0.999724823348102, 0.999723260832931, 0.999721643071305, 0.999724823348102, 0.999723260832931, 0.972015640858015, 0.972119280040414, 0.972347866227107, 0.941127087144428, 0.943888310976645, 0.945610522300009, 0.956530318979324, 0.958063417589364, 0.958933349459027
