"Hour", 20kV_Phs_1_Max, 20kV_Phs_2_Max, 20kV_Phs_3_Max, 20kV_Phs_1_Min, 20kV_Phs_2_Min, 20kV_Phs_3_Min, 20kV_Phs_1_Avg, 20kV_Phs_2_Avg, 20kV_Phs_3_Avg, 0.4kV_Phs_1_Max, 0.4kV_Phs_2_Max, 0.4kV_Phs_3_Max, 0.4kV_Phs_1_Min, 0.4kV_Phs_2_Min, 0.4kV_Phs_3_Min, 0.4kV_Phs_1_Avg, 0.4kV_Phs_2_Avg, 0.4kV_Phs_3_Avg
0.0166666666666667, 0.999744066664322, 0.99974750729311, 0.999749330134806, 0.999744066664322, 0.99974750729311, 0.999749330134806, 0.999744066664322, 0.99974750729311, 0.999749330134806, 0.972335863858148, 0.97229209707542, 0.972720124600564, 0.945838931437983, 0.947207216347235, 0.948298991948318, 0.958675404820569, 0.959543754478464, 0.960985468013077
0.0333333333333333, 0.999744065044122, 0.999747506296733, 0.999749329072499, 0.999744065044122, 0.999747506296733, 0.999749329072499, 0.999744065044122, 0.999747506296733, 0.999749329072499, 0.972335828747726, 0.972292073072782, 0.972720124982502, 0.945838424867688, 0.947207051780318, 0.94829889679265, 0.958675200950801, 0.959543670104545, 0.960985453587868
0.05, 0.99974406503939, 0.999747506296594, 0.999749329070733, 0.99974406503939, 0.999747506296594, 0.999749329070733, 0.99974406503939, 0.999747506296594, 0.999749329070733, 0.972335828588329, 0.972292073045021, 0.972720125063691, 0.945838422448332, 0.947207052445084, 0.948298897146097, 0.958675200031556, 0.959543670237462, 0.960985453850748
0.0666666666666667, 0.999744065039373, 0.999747506296607, 0.999749329070728, 0.999744065039373, 0.999747506296607, 0.999749329070728, 0.999744065039373, 0.999747506296607, 0.999749329070728, 0.972335828587342, 0.972292073045299, 0.972720125064237, 0.945838422434198, 0.947207052455853, 0.948298897147674, 0.958675200026323, 0.959543670240669, 0.960985453852148
0.0833333333333333, 0.999744065039373, 0.999747506296607, 0.999749329070728, 0.999744065039373, 0.999747506296607, 0.999749329070728, 0.999744065039373, 0.999747506296607, 0.999749329070728, 0.972335828587336, 0.972292073045303, 0.972720125064239, 0.945838422434116, 0.947207052455953, 0.948298897147658, 0.958675200026291, 0.959543670240699, 0.960985453852148
0.1, 0.999739044955672, 0.999742062162621, 0.999742358437369, 0.999739044955672, 0.999742062162621, 0.999742358437369, 0.999739044955672, 0.999742062162621, 0.999742358437369, 0.972243384578452, 0.972255443936452, 0.972571952386151, 0.943093021935366, 0.946814662908708, 0.949455322561041, 0.958147770051643, 0.959090846944933, 0.960794511928417
0.116666666666667, 0.999739043517008, 0.999742062390436, 0.999742358620732, 0.999739043517008, 0.999742062390436, 0.999742358620732, 0.999739043517008, 0.999742062390436, 0.999742358620732, 0.972243340183256, 0.972255422492535, 0.972572001440632, 0.943091635116255, 0.946815414319218, 0.949455834168707, 0.958147441657462, 0.959090874904252, 0.960794747642293
0.133333333333333, 0.999739043508462, 0.999742062397288, 0.999742358621121, 0.999739043508462, 0.999742062397288, 0.999742358621121, 0.999739043508462, 0.999742062397288, 0.999742358621121, 0.972243339753564, 0.972255422542443, 0.972572001796403, 0.943091625957408, 0.946815422507989, 0.949455835387104, 0.958147439090642, 0.959090876229936, 0.960794748912733
0.15, 0.999739043508415, 0.999742062397356, 0.999742358621102, 0.999739043508415, 0.999742062397356, 0.999742358621102, 0.999739043508415, 0.999742062397356, 0.999742358621102, 0.972243339750046, 0.972255422544176, 0.972572001798209, 0.943091625901118, 0.946815422580376, 0.949455835373919, 0.958147439072717, 0.959090876245744, 0.960794748915889
0.166666666666667, 0.999739043508415, 0.999742062397356, 0.999742358621102, 0.999739043508415, 0.999742062397356, 0.999742358621102, 0.999739043508415, 0.999742062397356, 0.999742358621102, 0.972243339750021, 0.972255422544197, 0.972572001798214, 0.943091625900818, 0.946815422580948, 0.949455835373658, 0.958147439072608, 0.959090876245889, 0.960794748915859
0.183333333333333, 0.999741961511315, 0.999746522274984, 0.999745669294245, 0.999741961511315, 0.999746522274984, 0.999745669294245, 0.999741961511315, 0.999746522274984, 0.999745669294245, 0.972246859524841, 0.972338553182994, 0.972655334190376, 0.944850736197821, 0.947629658899105, 0.947499108839027, 0.958418647615606, 0.959568880693801, 0.960751303547829
0.2, 0.99974196285276, 0.999746521961964, 0.999745668607673, 0.99974196285276, 0.999746521961964, 0.999745668607673, 0.99974196285276, 0.999746521961964, 0.999745668607673, 0.972246895598999, 0.972338584945996, 0.972655271701631, 0.944852108037209, 0.947629286983029, 0.947498007532662, 0.958418956413817, 0.959568911137875, 0.960750968417592
0.216666666666667, 0.999741962862266, 0.99974652195526, 0.999745668603809, 0.999741962862266, 0.99974652195526, 0.999745668603809, 0.999741962862266, 0.99974652195526, 0.999745668603809, 0.972246895996481, 0.972338585013759, 0.972655271218934, 0.944852118448452, 0.947629281268301, 0.947498001698515, 0.958418959092914, 0.959568910344339, 0.960750966267891
0.233333333333333, 0.999741962862328, 0.999746521955193, 0.999745668603802, 0.999741962862328, 0.999746521955193, 0.999745668603802, 0.999741962862328, 0.999746521955193, 0.999745668603802, 0.972246896000027, 0.97233858501298, 0.972655271215951, 0.944852118521537, 0.947629281208913, 0.947498001677155, 0.958418959113465, 0.959568910332097, 0.960750966257335
