"Hour", "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "20 kV Losses", "0.4 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "20 kV Line Loss", "0.4 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "20 kV Load Loss", "0.4 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "20 kV No Load Loss", "0.4 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "20 kV Load Energy", "0.4 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25"
0.0166666666666667, 56.3602231951502, 24.2393871437709, 56.3602231951502, 61.3516311740181, 54.7547253683983, 17.9969849386633, 54.7547253683983, 57.6365458459405, 0, 0, 0, 0, 1.60559280032787, 6.24242680875752, 1.60559280032787, 6.24242680875752, 0.962545527492951, 0.56848028374352, 0.643047272834921, 5.67394652501401, 0.962545527492951, 0.643047272834921, 0.856939208553882, 0.74865359177399, 0, 0, 0, 0.856939208553882, 0, 0, 0, 0, 0.74865359177399, 0.856939208553882, 0, 0, 0, 0, 0, 0, 0.856939208553882, 0, 0, 0, 0, 0, 0.105606318939069, 0, 0, 0, 0, 0, 0, 0.643047272834921, 0, 0, 0, 0, 0, 0, 0, 54.7547253683983, 0, 0, 0, 0, 0
0.0333333333333333, 56.3605143621697, 24.2394864841211, 56.3605143621697, 61.3519379007887, 54.7548647483254, 17.9970536813508, 54.7548647483254, 57.6366997217643, 0, 0, 0, 0, 1.60560536372356, 6.24243284615853, 1.60560536372356, 6.24243284615853, 0.962558116779209, 0.568486549590736, 0.643047246944349, 5.67394629656779, 0.962558116779209, 0.643047272834921, 0.856950735937044, 0.748654627786515, 0, 0, 0, 0.856950735937044, 0, 0, 0, 0, 0.748654627786515, 0.856950735937044, 0, 0, 0, 0, 0, 0, 0.856950735937044, 0, 0, 0, 0, 0, 0.105607380842165, 0, 0, 0, 0, 0, 0, 0.643047246944349, 0, 0, 0, 0, 0, 0, 0, 54.7548647483254, 0, 0, 0, 0, 0
0.05, 56.3605148872401, 24.2394866634525, 56.3605148872401, 61.3519384539927, 54.7548649996174, 17.9970538065101, 54.7548649996174, 57.6366999995727, 0, 0, 0, 0, 1.60560538655141, 6.24243285696194, 1.60560538655141, 6.24243285696194, 0.962558139653769, 0.568486560806307, 0.64304724689764, 5.67394629615564, 0.962558139653769, 0.643047272834921, 0.856950756873452, 0.748654629677958, 0, 0, 0, 0.856950756873452, 0, 0, 0, 0, 0.748654629677958, 0.856950756873452, 0, 0, 0, 0, 0, 0, 0.856950756873452, 0, 0, 0, 0, 0, 0.105607382780318, 0, 0, 0, 0, 0, 0, 0.64304724689764, 0, 0, 0, 0, 0, 0, 0, 54.7548649996174, 0, 0, 0, 0, 0
0.0666666666666667, 56.3605148880421, 24.2394866637314, 56.3605148880421, 61.3519384548396, 54.7548649999999, 17.9970538067143, 54.7548649999999, 57.6366999999999, 0, 0, 0, 0, 1.60560538647682, 6.2424328569963, 1.60560538655141, 6.2424328569963, 0.962558139579248, 0.568486560841286, 0.643047246897568, 5.67394629615501, 0.962558139653769, 0.643047272834921, 0.856950756795534, 0.748654629681282, 0, 0, 0, 0.856950756795534, 0, 0, 0, 0, 0.748654629681282, 0.856950756795534, 0, 0, 0, 0, 0, 0, 0.856950756795534, 0, 0, 0, 0, 0, 0.105607382783714, 0, 0, 0, 0, 0, 0, 0.643047246897568, 0, 0, 0, 0, 0, 0, 0, 54.7548649999999, 0, 0, 0, 0, 0
0.0833333333333333, 56.360514888043, 24.2394866637311, 56.360514888043, 61.3519384548403, 54.754865, 17.9970538067145, 54.754865, 57.6367, 0, 0, 0, 0, 1.60560538651816, 6.24243285700673, 1.60560538655141, 6.24243285700673, 0.962558139620597, 0.568486560851715, 0.643047246897568, 5.67394629615501, 0.962558139653769, 0.643047272834921, 0.856950756836565, 0.7486546296816, 0, 0, 0, 0.856950756836565, 0, 0, 0, 0, 0.7486546296816, 0.856950756836565, 0, 0, 0, 0, 0, 0, 0.856950756836565, 0, 0, 0, 0, 0, 0.105607382784032, 0, 0, 0, 0, 0, 0, 0.643047246897568, 0, 0, 0, 0, 0, 0, 0, 54.754865, 0, 0, 0, 0, 0
0.1, 57.7449508932934, 24.7057209622251, 57.7449508932934, 62.808056823406, 56.0912845218403, 18.4363048150823, 56.0912845218403, 59.0434546291514, 0, 0, 0, 0, 1.65366827280895, 6.26942134156186, 1.65366827280895, 6.26942134156186, 1.01074324064412, 0.596553410695651, 0.642925032164837, 5.67286793086621, 1.01074324064412, 0.643047272834921, 0.900077534169352, 0.7535907386396, 0, 0, 0, 0.900077534169352, 0, 0, 0, 0, 0.7535907386396, 0.900077534169352, 0, 0, 0, 0, 0, 0, 0.900077534169352, 0, 0, 0, 0, 0, 0.110665706474763, 0, 0, 0, 0, 0, 0, 0.642925032164837, 0, 0, 0, 0, 0, 0, 0, 56.0912845218403, 0, 0, 0, 0, 0
0.116666666666667, 57.745030582989, 24.7057503362905, 57.745030582989, 62.8081416434959, 56.0913249487346, 18.4363269234963, 56.0913249487346, 59.0434999380505, 0, 0, 0, 0, 1.65367247545858, 6.26942341543893, 1.65367247545858, 6.26942341543893, 1.01074745069108, 0.596555549843295, 0.642925024767505, 5.67286786559564, 1.01074745069108, 0.643047272834921, 0.900081433146331, 0.753591042312255, 0, 0, 0, 0.900081433146331, 0, 0, 0, 0, 0.753591042312255, 0.900081433146331, 0, 0, 0, 0, 0, 0, 0.900081433146331, 0, 0, 0, 0, 0, 0.11066601754475, 0, 0, 0, 0, 0, 0, 0.642925024767505, 0, 0, 0, 0, 0, 0, 0, 56.0913249487346, 0, 0, 0, 0, 0
0.133333333333333, 57.7450306730819, 24.7057503848632, 57.7450306730819, 62.8081417454325, 56.0913250001357, 18.4363269658732, 56.0913250001357, 59.0435000001138, 0, 0, 0, 0, 1.65367248336272, 6.26942341897349, 1.65367248336272, 6.26942341897349, 1.01074745860578, 0.596555553471081, 0.64292502475694, 5.67286786550241, 1.01074745860578, 0.643047272834921, 0.900081440614548, 0.753591042748169, 0, 0, 0, 0.900081440614548, 0, 0, 0, 0, 0.753591042748169, 0.900081440614548, 0, 0, 0, 0, 0, 0, 0.900081440614548, 0, 0, 0, 0, 0, 0.11066601799123, 0, 0, 0, 0, 0, 0, 0.64292502475694, 0, 0, 0, 0, 0, 0, 0, 56.0913250001357, 0, 0, 0, 0, 0
0.15, 57.7450306727472, 24.7057503848855, 57.7450306730819, 62.8081417454325, 56.091325000002, 18.4363269659221, 56.0913250001357, 59.0435000001138, 0, 0, 0, 0, 1.65367248331991, 6.26942341897736, 1.65367248336272, 6.26942341897736, 1.01074745856296, 0.596555553474857, 0.64292502475695, 5.6728678655025, 1.01074745860578, 0.643047272834921, 0.900081440571824, 0.753591042748091, 0, 0, 0, 0.900081440571824, 0, 0, 0, 0, 0.753591042748091, 0.900081440571824, 0, 0, 0, 0, 0, 0, 0.900081440571824, 0, 0, 0, 0, 0, 0.110666017991141, 0, 0, 0, 0, 0, 0, 0.64292502475695, 0, 0, 0, 0, 0, 0, 0, 56.091325000002, 0, 0, 0, 0, 0
0.166666666666667, 57.7450306727447, 24.7057503848852, 57.7450306730819, 62.8081417454325, 56.091325, 18.4363269659218, 56.0913250001357, 59.0435000001138, 0, 0, 0, 0, 1.65367248329667, 6.26942341894952, 1.65367248336272, 6.26942341897736, 1.01074745853973, 0.596555553447013, 0.64292502475695, 5.6728678655025, 1.01074745860578, 0.643047272834921, 0.900081440547908, 0.753591042748769, 0, 0, 0, 0.900081440547908, 0, 0, 0, 0, 0.753591042748769, 0.900081440547908, 0, 0, 0, 0, 0, 0, 0.900081440547908, 0, 0, 0, 0, 0, 0.110666017991818, 0, 0, 0, 0, 0, 0, 0.64292502475695, 0, 0, 0, 0, 0, 0, 0, 56.091325, 0, 0, 0, 0, 0
