"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
1, 69.0705382714108, 28.5264012955304, 69.0705382714108, 74.7294776375164, 2.09128413603136, 6.51140183066324, 2.09128413603136
2, 58.4371703537539, 24.938201091392, 69.0705382714108, 74.7294776375164, 1.67651139072255, 6.28188952099966, 2.09128413603136
3, 53.4780410956013, 23.2702695272337, 69.0705382714108, 74.7294776375164, 1.50725783162649, 6.18831171570409, 2.09128413603136
4, 51.7715931825139, 22.6970905709619, 69.0705382714108, 74.7294776375164, 1.4525838423786, 6.15809177209812, 2.09128413603136
5, 53.9166664292018, 23.4177177946068, 69.0705382714108, 74.7294776375164, 1.52158006229015, 6.19623854734908, 2.09128413603136
6, 62.270433001857, 26.2298763407155, 69.0705382714108, 74.7294776375164, 1.8178547117457, 6.3600833083112, 2.09128413603136
7, 79.1797888115843, 31.9526367305645, 79.1797888115843, 85.3838974882414, 2.55151996846509, 6.76619626833365, 2.55151996846509
8, 82.1715049619049, 34.9631454442088, 82.1715049619049, 89.3004914155418, 2.713661128172, 6.86264100735567, 2.713661128172
9, 26.6452015659361, 34.7281473648874, 82.1715049619049, 89.3004914155418, 1.07644955512532, 5.94850089472259, 2.713661128172
10, 4.07337266066595, 35.4882495193391, 82.1715049619049, 89.3004914155418, 1.01431171171082, 5.87629665344204, 2.713661128172
11, -89.4959040933443, 37.1539688850359, 82.1715049619049, 96.9016731196903, 4.2311076946173, 7.3366200123168, 4.2311076946173
12, -94.5014843842521, 37.0775550742505, 82.1715049619049, 101.51490354185, 4.55068230389188, 7.49209907991634, 4.55068230389188
13, -59.1765373156335, 36.2642601064798, 82.1715049619049, 101.51490354185, 2.5684542138453, 6.54794204321755, 4.55068230389188
14, 26.3923459555992, 36.2615621305955, 82.1715049619049, 101.51490354185, 1.104732795531, 5.96169570335831, 4.55068230389188
15, 74.5440582220569, 38.2679791316586, 82.1715049619049, 101.51490354185, 2.40209517958404, 6.70443752062239, 4.55068230389188
16, 109.862356649709, 42.4406963036957, 109.862356649709, 117.774997819445, 4.34547615430025, 7.7590269620665, 4.55068230389188
17, 128.406444120379, 48.8442992540396, 128.406444120379, 137.382606108845, 5.7224208066702, 8.52007759220636, 5.7224208066702
18, 143.589019799689, 54.1238613336042, 143.589019799689, 153.450966020728, 7.01246172432287, 9.23339595880365, 7.01246172432287
19, 149.552784548278, 56.2069476693688, 149.552784548278, 159.766255299581, 7.5569399069654, 9.53535275343092, 7.5569399069654
20, 152.997546813014, 57.4127125796606, 152.997546813014, 163.41502041292, 7.8809675204927, 9.71533140656426, 7.8809675204927
21, 148.966128927063, 56.0019818698063, 152.997546813014, 163.41502041292, 7.50251563694582, 9.50512016692682, 7.8809675204927
22, 135.865681748463, 51.4341640902761, 152.997546813014, 163.41502041292, 6.33858801525777, 8.860499834681, 7.8809675204927
23, 114.615058555859, 44.0774787931788, 152.997546813014, 163.41502041292, 4.67735108836113, 7.94250509274606, 7.8809675204927
24, 89.6512075694794, 35.5171121031001, 152.997546813014, 163.41502041292, 3.09647551215665, 7.06786302710202, 7.8809675204927
