Minute,Stor_O4L23,Stor_O4L28,Stor_O4L32,Stor_O4L33,Stor_O4L47,Stor_O3L53,Stor_O3L55,Stor_O3L60,Stor_O3L66,Stor_O3L67,Stor_O3L68,Stor_O3L73,Stor_O2L84,Stor_O2L88,Stor_O2L89,Stor_O2L100,Stor_O2L110,Stor_O1L130
1,0.107477259,0.122448406,0.122880106,0.173063689,0.038993102,0.191534133,0.1702463,0.190210883,0.136420703,0.187986525,0.107442225,-0.01978731,0.176200429,0.170018672,0.065084743,0.233031457,0.032052675,0.226676282
2,0.107477259,0.122448406,0.122880106,0.173063689,0.038993102,0.191534133,0.1702463,0.190210883,0.136420703,0.187986525,0.107442225,-0.01978731,0.176200429,0.170018672,0.065084743,0.233031457,0.032052675,0.226676282
3,0.107477259,0.122448406,0.122880106,0.173063689,0.038993102,0.191534133,0.1702463,0.190210883,0.136420703,0.187986525,0.107442225,-0.01978731,0.176200429,0.170018672,0.065084743,0.233031457,0.032052675,0.226676282
4,0.107477259,0.122448406,0.122880106,0.173063689,0.038993102,0.191534133,0.1702463,0.190210883,0.136420703,0.187986525,0.107442225,-0.01978731,0.176200429,0.170018672,0.065084743,0.233031457,0.032052675,0.226676282
5,0.107477259,0.122448406,0.122880106,0.173063689,0.038993102,0.191534133,0.1702463,0.190210883,0.136420703,0.187986525,0.107442225,-0.01978731,0.176200429,0.170018672,0.065084743,0.233031457,0.032052675,0.226676282
6,0.107477259,0.122448406,0.122880106,0.173063689,0.038993102,0.191534133,0.1702463,0.190210883,0.136420703,0.187986525,0.107442225,-0.01978731,0.176200429,0.170018672,0.065084743,0.233031457,0.032052675,0.226676282
7,0.107477259,0.122448406,0.122880106,0.173063689,0.038993102,0.191534133,0.1702463,0.190210883,0.136420703,0.187986525,0.107442225,-0.01978731,0.176200429,0.170018672,0.065084743,0.233031457,0.032052675,0.226676282
8,0.107477259,0.122448406,0.122880106,0.173063689,0.038993102,0.191534133,0.1702463,0.190210883,0.136420703,0.187986525,0.107442225,-0.01978731,0.176200429,0.170018672,0.065084743,0.233031457,0.032052675,0.226676282
9,0.107477259,0.122448406,0.122880106,0.173063689,0.038993102,0.191534133,0.1702463,0.190210883,0.136420703,0.187986525,0.107442225,-0.01978731,0.176200429,0.170018672,0.065084743,0.233031457,0.032052675,0.226676282
10,0.107477259,0.122448406,0.122880106,0.173063689,0.038993102,0.191534133,0.1702463,0.190210883,0.136420703,0.187986525,0.107442225,-0.01978731,0.176200429,0.170018672,0.065084743,0.233031457,0.032052675,0.226676282
11,0.107477259,0.122448406,0.122880106,0.173063689,0.038993102,0.191534133,0.1702463,0.190210883,0.136420703,0.187986525,0.107442225,-0.01978731,0.176200429,0.170018672,0.065084743,0.233031457,0.032052675,0.226676282
12,0.107477259,0.122448406,0.122880106,0.173063689,0.038993102,0.191534133,0.1702463,0.190210883,0.136420703,0.187986525,0.107442225,-0.01978731,0.176200429,0.170018672,0.065084743,0.233031457,0.032052675,0.226676282
13,0.107477259,0.122448406,0.122880106,0.173063689,0.038993102,0.191534133,0.1702463,0.190210883,0.136420703,0.187986525,0.107442225,-0.01978731,0.176200429,0.170018672,0.065084743,0.233031457,0.032052675,0.226676282
14,0.107477259,0.122448406,0.122880106,0.173063689,0.038993102,0.191534133,0.1702463,0.190210883,0.136420703,0.187986525,0.107442225,-0.01978731,0.176200429,0.170018672,0.065084743,0.233031457,0.032052675,0.226676282
15,0.107477259,0.122448406,0.122880106,0.173063689,0.038993102,0.191534133,0.1702463,0.190210883,0.136420703,0.187986525,0.107442225,-0.01978731,0.176200429,0.170018672,0.065084743,0.233031457,0.032052675,0.226676282
16,0.107477259,0.122448406,0.122880106,0.173063689,0.038993102,0.191534133,0.1702463,0.190210883,0.136420703,0.187986525,0.107442225,-0.01978731,0.176200429,0.170018672,0.065084743,0.233031457,0.032052675,0.226676282
17,0.107477259,0.122448406,0.122880106,0.173063689,0.038993102,0.191534133,0.1702463,0.190210883,0.136420703,0.187986525,0.107442225,-0.01978731,0.176200429,0.170018672,0.065084743,0.233031457,0.032052675,0.226676282
18,0.107477259,0.122448406,0.122880106,0.173063689,0.038993102,0.191534133,0.1702463,0.190210883,0.136420703,0.187986525,0.107442225,-0.01978731,0.176200429,0.170018672,0.065084743,0.233031457,0.032052675,0.226676282
