Minute,Stor_O4L23,Stor_O4L28,Stor_O4L32,Stor_O4L33,Stor_O4L47,Stor_O3L53,Stor_O3L55,Stor_O3L60,Stor_O3L66,Stor_O3L67,Stor_O3L68,Stor_O3L73,Stor_O2L84,Stor_O2L88,Stor_O2L89,Stor_O2L100,Stor_O2L110,Stor_O1L130
27,-0.020087058,-0.020087058,-0.020087058,-0.020087058,-0.020087058,-0.020087058,-0.020087058,-0.020087058,-0.020087058,-0.020087058,-0.020087058,-0.020087058,-0.020087058,-0.020087058,-0.020087058,-0.020087058,-0.020087058,-0.020087058
28,-0.008497236,-0.008497236,-0.008497236,-0.008497236,-0.008497236,-0.008497236,-0.008497236,-0.008497236,-0.008497236,-0.008497236,-0.008497236,-0.008497236,-0.008497236,-0.008497236,-0.008497236,-0.008497236,-0.008497236,-0.008497236
29,-0.02059993,-0.02059993,-0.02059993,-0.02059993,-0.02059993,-0.02059993,-0.02059993,-0.02059993,-0.02059993,-0.02059993,-0.02059993,-0.02059993,-0.02059993,-0.02059993,-0.02059993,-0.02059993,-0.02059993,-0.02059993
30,-0.01017406,-0.01017406,-0.01017406,-0.01017406,-0.01017406,-0.01017406,-0.01017406,-0.01017406,-0.01017406,-0.01017406,-0.01017406,-0.01017406,-0.01017406,-0.01017406,-0.01017406,-0.01017406,-0.01017406,-0.01017406
31,-0.000740261,-0.000740261,-0.000740261,-0.000740261,-0.000740261,-0.000740261,-0.000740261,-0.000740261,-0.000740261,-0.000740261,-0.000740261,-0.000740261,-0.000740261,-0.000740261,-0.000740261,-0.000740261,-0.000740261,-0.000740261
32,-0.000273021,-0.000273021,-0.000273021,-0.000273021,-0.000273021,-0.000273021,-0.000273021,-0.000273021,-0.000273021,-0.000273021,-0.000273021,-0.000273021,-0.000273021,-0.000273021,-0.000273021,-0.000273021,-0.000273021,-0.000273021
33,-0.086971194,-0.086971194,-0.086971194,-0.086971194,-0.086971194,-0.086971194,-0.086971194,-0.086971194,-0.086971194,-0.086971194,-0.086971194,-0.086971194,-0.086971194,-0.086971194,-0.086971194,-0.086971194,-0.086971194,-0.086971194
34,-0.220543072,-0.220543072,-0.220543072,-0.220543072,-0.220543072,-0.220543072,-0.220543072,-0.220543072,-0.220543072,-0.220543072,-0.220543072,-0.220543072,-0.220543072,-0.220543072,-0.220543072,-0.220543072,-0.220543072,-0.220543072
35,-0.390320957,-0.390320957,-0.390320957,-0.390320957,-0.390320957,-0.390320957,-0.390320957,-0.390320957,-0.390320957,-0.390320957,-0.390320957,-0.390320957,-0.390320957,-0.390320957,-0.390320957,-0.390320957,-0.390320957,-0.390320957
36,-0.40628475,-0.40628475,-0.40628475,-0.40628475,-0.40628475,-0.40628475,-0.40628475,-0.40628475,-0.40628475,-0.40628475,-0.40628475,-0.40628475,-0.40628475,-0.40628475,-0.40628475,-0.40628475,-0.40628475,-0.40628475
