Minute,Stor_O4L23,Stor_O4L28,Stor_O4L32,Stor_O4L33,Stor_O4L47,Stor_O3L53,Stor_O3L55,Stor_O3L60,Stor_O3L66,Stor_O3L67,Stor_O3L68,Stor_O3L73,Stor_O2L84,Stor_O2L88,Stor_O2L89,Stor_O2L100,Stor_O2L110,Stor_O1L130
29,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
30,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
31,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
32,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
33,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
34,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
35,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
36,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
37,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
38,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
39,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
40,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
41,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
42,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
43,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
44,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
45,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
46,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
47,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
48,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
49,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
50,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
51,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
52,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
53,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
54,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
55,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
56,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
57,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
58,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
59,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
60,-0.02,-0.02,0.073311131,0.101175053,-0.02,0.206590185,0.201350275,0.200407819,0.114231684,0.193357921,-0.02,-0.01857667,0.190083057,0.171861611,-0.02,0.137740967,0.091434061,0.156306314
61,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
62,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
63,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
64,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
65,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
66,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
67,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
68,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
69,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
70,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
71,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
72,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
73,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
74,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
75,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
76,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
77,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
78,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
79,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
80,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
81,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
