t [min],L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3,L1,L2,L3
1,0.05,0.09,0.07,0.09,0.09,0.09,0.07,0.08,0.08,0.10,0.07,0.06,0.07,0.09,0.08,0.07,0.08,0.10,0.07,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.09,0.07,0.09,0.08,0.07,0.08,0.07,0.08,0.08,0.10,0.06,0.09,0.09,0.06,0.09,0.06,0.08,0.05,0.07,0.07,0.06,0.07,0.07,0.09,0.10,0.09,0.07,0.08,0.06,0.10,0.07,0.08,0.11,0.08,0.09,0.09,0.12,0.10,0.07,0.08,0.09,0.09,0.05,0.08,0.07,0.08,0.09,0.09,0.08,0.07,0.08,0.09,0.07,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.06,0.08,0.07,0.09,0.08,0.06,0.08,0.10,0.07,0.06,0.09,0.09,0.07,0.07,0.06,0.09,0.08,0.06,0.07,0.11,0.06,0.07,0.09,0.08,0.08,0.08,0.07,0.07,0.09,0.07,0.08,0.07,0.07,0.10,0.06,0.11,0.08,0.08,0.07,0.10,0.07,0.07,0.10,0.10,0.05,0.10,0.08,0.08,0.08,0.06,0.06,0.08,0.08,0.08,0.07,0.09,0.08,0.06,0.07,0.10,0.08,0.07,0.08,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.06,0.08,0.07,0.07,0.08,0.08,0.08,0.07,0.10,0.09,0.08,0.08,0.06,0.07,0.08,0.09,0.08,0.06,0.09,0.08,0.08,0.11,0.07,0.08,0.09,0.07,0.06,0.08,0.08,0.09,0.08,0.06,0.07,0.09,0.09,0.08,0.07,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.09,0.08,0.07,0.09,0.08,0.07,0.07,0.10,0.07,0.09,0.09,0.08,0.08,0.10,0.07,0.07,0.08,0.08,0.09,0.08,0.08,0.07,0.06,0.08,0.07,0.10,0.09,0.07,0.08,0.08,0.07,0.07,0.09,0.09,0.07,0.06,0.07,0.10,0.09,0.08,0.09,0.09,0.07,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.08,0.10,0.10,0.07,0.09,0.10,0.08,0.08,0.09,0.08,0.06,0.07,0.09,0.07,0.08,0.04,0.08,0.07,0.07,0.08,0.05,0.07,0.07,0.09,0.10,0.08,0.07,0.09,0.08,0.06,0.09,0.07,0.08,0.08,0.10,0.09,0.07,0.06,0.08,0.08,0.07,0.07,0.06,0.08,0.07,0.04,0.07,0.09,0.09,0.09,0.07,0.05,0.07,0.08,0.07,0.07,0.07,0.07,0.08,0.10,0.06,0.07,0.10,0.06,0.07,0.09,0.08,0.07,0.08,0.07,0.08,0.07,0.08,0.10,0.07,0.07,0.07,0.08,0.08,0.09,0.06,0.07,0.08,0.09,0.09,0.06,0.08,0.08,0.05,0.09,0.09,0.08,0.06,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.07,0.10,0.07,0.08,0.07,0.09,0.07,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.10,0.08,0.09,0.08,0.07,0.08,0.05,0.07,0.08,0.07,0.09,0.04,0.10,0.09,0.10,0.08,0.10,0.08,0.07,0.07,0.08,0.08,0.07,0.10,0.09,0.09,0.07,0.07,0.05,0.08,0.08,0.07,0.09,0.07,0.05,0.08,0.06,0.10,0.09,0.06,0.08,0.06,0.09,0.08,0.08,0.09,0.07,0.07,0.07,0.09,0.06,0.06,0.07,0.07,0.08,0.07,0.07,0.09,0.10,0.06,0.08,0.08,0.07,0.06,0.07,0.07,0.08
2,0.05,0.09,0.07,0.09,0.09,0.09,0.07,0.08,0.08,0.10,0.07,0.06,0.07,0.09,0.08,0.07,0.08,0.10,0.07,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.09,0.07,0.09,0.08,0.07,0.08,0.07,0.08,0.08,0.10,0.06,0.09,0.09,0.06,0.09,0.06,0.08,0.05,0.07,0.07,0.06,0.07,0.07,0.09,0.10,0.09,0.07,0.08,0.06,0.10,0.07,0.08,0.11,0.08,0.09,0.09,0.12,0.10,0.07,0.08,0.09,0.09,0.05,0.08,0.07,0.08,0.09,0.09,0.08,0.07,0.08,0.09,0.07,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.06,0.08,0.07,0.09,0.08,0.06,0.08,0.10,0.07,0.06,0.09,0.09,0.07,0.07,0.06,0.09,0.08,0.06,0.07,0.11,0.06,0.07,0.09,0.08,0.08,0.08,0.07,0.07,0.09,0.07,0.08,0.07,0.07,0.10,0.06,0.11,0.08,0.08,0.07,0.10,0.07,0.07,0.10,0.10,0.05,0.10,0.08,0.08,0.08,0.06,0.06,0.08,0.08,0.08,0.07,0.09,0.08,0.06,0.07,0.10,0.08,0.07,0.08,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.06,0.08,0.07,0.07,0.08,0.08,0.08,0.07,0.10,0.09,0.08,0.08,0.06,0.07,0.08,0.09,0.08,0.06,0.09,0.08,0.08,0.11,0.07,0.08,0.09,0.07,0.06,0.08,0.08,0.09,0.08,0.06,0.07,0.09,0.09,0.08,0.07,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.09,0.08,0.07,0.09,0.08,0.07,0.07,0.10,0.07,0.09,0.09,0.08,0.08,0.10,0.07,0.07,0.08,0.08,0.09,0.08,0.08,0.07,0.06,0.08,0.07,0.10,0.09,0.07,0.08,0.08,0.07,0.07,0.09,0.09,0.07,0.06,0.07,0.10,0.09,0.08,0.09,0.09,0.07,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.08,0.10,0.10,0.07,0.09,0.10,0.08,0.08,0.09,0.08,0.06,0.07,0.09,0.07,0.08,0.04,0.08,0.07,0.07,0.08,0.05,0.07,0.07,0.09,0.10,0.08,0.07,0.09,0.08,0.06,0.09,0.07,0.08,0.08,0.10,0.09,0.07,0.06,0.08,0.08,0.07,0.07,0.06,0.08,0.07,0.04,0.07,0.09,0.09,0.09,0.07,0.05,0.07,0.08,0.07,0.07,0.07,0.07,0.08,0.10,0.06,0.07,0.10,0.06,0.07,0.09,0.08,0.07,0.08,0.07,0.08,0.07,0.08,0.10,0.07,0.07,0.07,0.08,0.08,0.09,0.06,0.07,0.08,0.09,0.09,0.06,0.08,0.08,0.05,0.09,0.09,0.08,0.06,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.07,0.10,0.07,0.08,0.07,0.09,0.07,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.10,0.08,0.09,0.08,0.07,0.08,0.05,0.07,0.08,0.07,0.09,0.04,0.10,0.09,0.10,0.08,0.10,0.08,0.07,0.07,0.08,0.08,0.07,0.10,0.09,0.09,0.07,0.07,0.05,0.08,0.08,0.07,0.09,0.07,0.05,0.08,0.06,0.10,0.09,0.06,0.08,0.06,0.09,0.08,0.08,0.09,0.07,0.07,0.07,0.09,0.06,0.06,0.07,0.07,0.08,0.07,0.07,0.09,0.10,0.06,0.08,0.08,0.07,0.06,0.07,0.07,0.08
3,0.05,0.09,0.07,0.09,0.09,0.09,0.07,0.08,0.08,0.10,0.07,0.06,0.07,0.09,0.08,0.07,0.08,0.10,0.07,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.09,0.07,0.09,0.08,0.07,0.08,0.07,0.08,0.08,0.10,0.06,0.09,0.09,0.06,0.09,0.06,0.08,0.05,0.07,0.07,0.06,0.07,0.07,0.09,0.10,0.09,0.07,0.08,0.06,0.10,0.07,0.08,0.11,0.08,0.09,0.09,0.12,0.10,0.07,0.08,0.09,0.09,0.05,0.08,0.07,0.08,0.09,0.09,0.08,0.07,0.08,0.09,0.07,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.06,0.08,0.07,0.09,0.08,0.06,0.08,0.10,0.07,0.06,0.09,0.09,0.07,0.07,0.06,0.09,0.08,0.06,0.07,0.11,0.06,0.07,0.09,0.08,0.08,0.08,0.07,0.07,0.09,0.07,0.08,0.07,0.07,0.10,0.06,0.11,0.08,0.08,0.07,0.10,0.07,0.07,0.10,0.10,0.05,0.10,0.08,0.08,0.08,0.06,0.06,0.08,0.08,0.08,0.07,0.09,0.08,0.06,0.07,0.10,0.08,0.07,0.08,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.06,0.08,0.07,0.07,0.08,0.08,0.08,0.07,0.10,0.09,0.08,0.08,0.06,0.07,0.08,0.09,0.08,0.06,0.09,0.08,0.08,0.11,0.07,0.08,0.09,0.07,0.06,0.08,0.08,0.09,0.08,0.06,0.07,0.09,0.09,0.08,0.07,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.09,0.08,0.07,0.09,0.08,0.07,0.07,0.10,0.07,0.09,0.09,0.08,0.08,0.10,0.07,0.07,0.08,0.08,0.09,0.08,0.08,0.07,0.06,0.08,0.07,0.10,0.09,0.07,0.08,0.08,0.07,0.07,0.09,0.09,0.07,0.06,0.07,0.10,0.09,0.08,0.09,0.09,0.07,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.08,0.10,0.10,0.07,0.09,0.10,0.08,0.08,0.09,0.08,0.06,0.07,0.09,0.07,0.08,0.04,0.08,0.07,0.07,0.08,0.05,0.07,0.07,0.09,0.10,0.08,0.07,0.09,0.08,0.06,0.09,0.07,0.08,0.08,0.10,0.09,0.07,0.06,0.08,0.08,0.07,0.07,0.06,0.08,0.07,0.04,0.07,0.09,0.09,0.09,0.07,0.05,0.07,0.08,0.07,0.07,0.07,0.07,0.08,0.10,0.06,0.07,0.10,0.06,0.07,0.09,0.08,0.07,0.08,0.07,0.08,0.07,0.08,0.10,0.07,0.07,0.07,0.08,0.08,0.09,0.06,0.07,0.08,0.09,0.09,0.06,0.08,0.08,0.05,0.09,0.09,0.08,0.06,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.07,0.10,0.07,0.08,0.07,0.09,0.07,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.10,0.08,0.09,0.08,0.07,0.08,0.05,0.07,0.08,0.07,0.09,0.04,0.10,0.09,0.10,0.08,0.10,0.08,0.07,0.07,0.08,0.08,0.07,0.10,0.09,0.09,0.07,0.07,0.05,0.08,0.08,0.07,0.09,0.07,0.05,0.08,0.06,0.10,0.09,0.06,0.08,0.06,0.09,0.08,0.08,0.09,0.07,0.07,0.07,0.09,0.06,0.06,0.07,0.07,0.08,0.07,0.07,0.09,0.10,0.06,0.08,0.08,0.07,0.06,0.07,0.07,0.08
4,0.05,0.09,0.07,0.09,0.09,0.09,0.07,0.08,0.08,0.10,0.07,0.06,0.07,0.09,0.08,0.07,0.08,0.10,0.07,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.09,0.07,0.09,0.08,0.07,0.08,0.07,0.08,0.08,0.10,0.06,0.09,0.09,0.06,0.09,0.06,0.08,0.05,0.07,0.07,0.06,0.07,0.07,0.09,0.10,0.09,0.07,0.08,0.06,0.10,0.07,0.08,0.11,0.08,0.09,0.09,0.12,0.10,0.07,0.08,0.09,0.09,0.05,0.08,0.07,0.08,0.09,0.09,0.08,0.07,0.08,0.09,0.07,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.06,0.08,0.07,0.09,0.08,0.06,0.08,0.10,0.07,0.06,0.09,0.09,0.07,0.07,0.06,0.09,0.08,0.06,0.07,0.11,0.06,0.07,0.09,0.08,0.08,0.08,0.07,0.07,0.09,0.07,0.08,0.07,0.07,0.10,0.06,0.11,0.08,0.08,0.07,0.10,0.07,0.07,0.10,0.10,0.05,0.10,0.08,0.08,0.08,0.06,0.06,0.08,0.08,0.08,0.07,0.09,0.08,0.06,0.07,0.10,0.08,0.07,0.08,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.06,0.08,0.07,0.07,0.08,0.08,0.08,0.07,0.10,0.09,0.08,0.08,0.06,0.07,0.08,0.09,0.08,0.06,0.09,0.08,0.08,0.11,0.07,0.08,0.09,0.07,0.06,0.08,0.08,0.09,0.08,0.06,0.07,0.09,0.09,0.08,0.07,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.09,0.08,0.07,0.09,0.08,0.07,0.07,0.10,0.07,0.09,0.09,0.08,0.08,0.10,0.07,0.07,0.08,0.08,0.09,0.08,0.08,0.07,0.06,0.08,0.07,0.10,0.09,0.07,0.08,0.08,0.07,0.07,0.09,0.09,0.07,0.06,0.07,0.10,0.09,0.08,0.09,0.09,0.07,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.08,0.10,0.10,0.07,0.09,0.10,0.08,0.08,0.09,0.08,0.06,0.07,0.09,0.07,0.08,0.04,0.08,0.07,0.07,0.08,0.05,0.07,0.07,0.09,0.10,0.08,0.07,0.09,0.08,0.06,0.09,0.07,0.08,0.08,0.10,0.09,0.07,0.06,0.08,0.08,0.07,0.07,0.06,0.08,0.07,0.04,0.07,0.09,0.09,0.09,0.07,0.05,0.07,0.08,0.07,0.07,0.07,0.07,0.08,0.10,0.06,0.07,0.10,0.06,0.07,0.09,0.08,0.07,0.08,0.07,0.08,0.07,0.08,0.10,0.07,0.07,0.07,0.08,0.08,0.09,0.06,0.07,0.08,0.09,0.09,0.06,0.08,0.08,0.05,0.09,0.09,0.08,0.06,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.07,0.10,0.07,0.08,0.07,0.09,0.07,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.10,0.08,0.09,0.08,0.07,0.08,0.05,0.07,0.08,0.07,0.09,0.04,0.10,0.09,0.10,0.08,0.10,0.08,0.07,0.07,0.08,0.08,0.07,0.10,0.09,0.09,0.07,0.07,0.05,0.08,0.08,0.07,0.09,0.07,0.05,0.08,0.06,0.10,0.09,0.06,0.08,0.06,0.09,0.08,0.08,0.09,0.07,0.07,0.07,0.09,0.06,0.06,0.07,0.07,0.08,0.07,0.07,0.09,0.10,0.06,0.08,0.08,0.07,0.06,0.07,0.07,0.08
5,0.05,0.09,0.07,0.09,0.09,0.09,0.07,0.08,0.08,0.10,0.07,0.06,0.07,0.09,0.08,0.07,0.08,0.10,0.07,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.09,0.07,0.09,0.08,0.07,0.08,0.07,0.08,0.08,0.10,0.06,0.09,0.09,0.06,0.09,0.06,0.08,0.05,0.07,0.07,0.06,0.07,0.07,0.09,0.10,0.09,0.07,0.08,0.06,0.10,0.07,0.08,0.11,0.08,0.09,0.09,0.12,0.10,0.07,0.08,0.09,0.09,0.05,0.08,0.07,0.08,0.09,0.09,0.08,0.07,0.08,0.09,0.07,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.06,0.08,0.07,0.09,0.08,0.06,0.08,0.10,0.07,0.06,0.09,0.09,0.07,0.07,0.06,0.09,0.08,0.06,0.07,0.11,0.06,0.07,0.09,0.08,0.08,0.08,0.07,0.07,0.09,0.07,0.08,0.07,0.07,0.10,0.06,0.11,0.08,0.08,0.07,0.10,0.07,0.07,0.10,0.10,0.05,0.10,0.08,0.08,0.08,0.06,0.06,0.08,0.08,0.08,0.07,0.09,0.08,0.06,0.07,0.10,0.08,0.07,0.08,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.06,0.08,0.07,0.07,0.08,0.08,0.08,0.07,0.10,0.09,0.08,0.08,0.06,0.07,0.08,0.09,0.08,0.06,0.09,0.08,0.08,0.11,0.07,0.08,0.09,0.07,0.06,0.08,0.08,0.09,0.08,0.06,0.07,0.09,0.09,0.08,0.07,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.09,0.08,0.07,0.09,0.08,0.07,0.07,0.10,0.07,0.09,0.09,0.08,0.08,0.10,0.07,0.07,0.08,0.08,0.09,0.08,0.08,0.07,0.06,0.08,0.07,0.10,0.09,0.07,0.08,0.08,0.07,0.07,0.09,0.09,0.07,0.06,0.07,0.10,0.09,0.08,0.09,0.09,0.07,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.08,0.10,0.10,0.07,0.09,0.10,0.08,0.08,0.09,0.08,0.06,0.07,0.09,0.07,0.08,0.04,0.08,0.07,0.07,0.08,0.05,0.07,0.07,0.09,0.10,0.08,0.07,0.09,0.08,0.06,0.09,0.07,0.08,0.08,0.10,0.09,0.07,0.06,0.08,0.08,0.07,0.07,0.06,0.08,0.07,0.04,0.07,0.09,0.09,0.09,0.07,0.05,0.07,0.08,0.07,0.07,0.07,0.07,0.08,0.10,0.06,0.07,0.10,0.06,0.07,0.09,0.08,0.07,0.08,0.07,0.08,0.07,0.08,0.10,0.07,0.07,0.07,0.08,0.08,0.09,0.06,0.07,0.08,0.09,0.09,0.06,0.08,0.08,0.05,0.09,0.09,0.08,0.06,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.07,0.10,0.07,0.08,0.07,0.09,0.07,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.10,0.08,0.09,0.08,0.07,0.08,0.05,0.07,0.08,0.07,0.09,0.04,0.10,0.09,0.10,0.08,0.10,0.08,0.07,0.07,0.08,0.08,0.07,0.10,0.09,0.09,0.07,0.07,0.05,0.08,0.08,0.07,0.09,0.07,0.05,0.08,0.06,0.10,0.09,0.06,0.08,0.06,0.09,0.08,0.08,0.09,0.07,0.07,0.07,0.09,0.06,0.06,0.07,0.07,0.08,0.07,0.07,0.09,0.10,0.06,0.08,0.08,0.07,0.06,0.07,0.07,0.08
6,0.08,0.08,0.06,0.08,0.10,0.06,0.08,0.09,0.08,0.11,0.08,0.07,0.07,0.08,0.08,0.07,0.08,0.09,0.08,0.08,0.07,0.07,0.08,0.10,0.09,0.07,0.10,0.05,0.08,0.10,0.08,0.09,0.08,0.08,0.09,0.07,0.06,0.07,0.09,0.07,0.09,0.09,0.08,0.06,0.07,0.09,0.07,0.09,0.09,0.08,0.08,0.08,0.10,0.07,0.06,0.09,0.09,0.06,0.05,0.08,0.10,0.08,0.08,0.06,0.07,0.08,0.07,0.08,0.09,0.09,0.07,0.07,0.11,0.06,0.08,0.09,0.07,0.08,0.04,0.08,0.10,0.08,0.08,0.07,0.07,0.08,0.07,0.06,0.06,0.09,0.09,0.08,0.07,0.06,0.05,0.09,0.06,0.07,0.07,0.07,0.09,0.08,0.08,0.08,0.06,0.08,0.06,0.07,0.08,0.09,0.08,0.09,0.08,0.06,0.09,0.08,0.08,0.07,0.07,0.07,0.08,0.06,0.09,0.08,0.07,0.08,0.08,0.08,0.08,0.09,0.07,0.09,0.07,0.09,0.07,0.09,0.09,0.09,0.09,0.08,0.08,0.06,0.09,0.07,0.10,0.08,0.08,0.08,0.09,0.08,0.09,0.11,0.09,0.08,0.06,0.08,0.07,0.08,0.09,0.08,0.05,0.06,0.08,0.10,0.09,0.08,0.08,0.09,0.08,0.08,0.10,0.08,0.09,0.07,0.09,0.07,0.08,0.09,0.10,0.06,0.07,0.08,0.09,0.07,0.07,0.09,0.09,0.07,0.08,0.08,0.08,0.08,0.06,0.09,0.09,0.09,0.09,0.08,0.07,0.09,0.10,0.08,0.09,0.09,0.10,0.07,0.09,0.11,0.09,0.09,0.10,0.08,0.07,0.08,0.05,0.07,0.05,0.09,0.09,0.07,0.09,0.09,0.09,0.07,0.08,0.07,0.09,0.08,0.10,0.08,0.09,0.07,0.09,0.09,0.08,0.09,0.06,0.09,0.08,0.07,0.08,0.09,0.07,0.07,0.09,0.06,0.07,0.07,0.06,0.07,0.10,0.07,0.07,0.09,0.09,0.08,0.10,0.07,0.08,0.07,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.08,0.08,0.09,0.07,0.06,0.08,0.09,0.08,0.08,0.07,0.07,0.08,0.05,0.07,0.09,0.08,0.09,0.10,0.08,0.09,0.06,0.08,0.08,0.06,0.09,0.08,0.06,0.08,0.08,0.07,0.06,0.07,0.08,0.08,0.07,0.10,0.07,0.07,0.08,0.08,0.06,0.07,0.09,0.07,0.07,0.08,0.08,0.08,0.05,0.06,0.09,0.07,0.06,0.08,0.07,0.09,0.10,0.08,0.08,0.09,0.09,0.07,0.08,0.09,0.08,0.09,0.07,0.07,0.07,0.08,0.07,0.07,0.11,0.06,0.08,0.09,0.09,0.07,0.09,0.09,0.08,0.08,0.10,0.08,0.08,0.09,0.09,0.08,0.08,0.07,0.05,0.08,0.07,0.08,0.08,0.06,0.08,0.08,0.07,0.09,0.07,0.09,0.09,0.07,0.07,0.08,0.08,0.09,0.08,0.07,0.08,0.07,0.08,0.10,0.06,0.08,0.08,0.08,0.09,0.09,0.07,0.06,0.08,0.09,0.08,0.08,0.07,0.09,0.08,0.09,0.07,0.07,0.08,0.08,0.08,0.06,0.10,0.10,0.08,0.10,0.07,0.07,0.08,0.07,0.07,0.08,0.08,0.07,0.05,0.06,0.08,0.09,0.08,0.09,0.10,0.07,0.07,0.07,0.08,0.09,0.08,0.07,0.06
7,0.08,0.08,0.06,0.08,0.10,0.06,0.08,0.09,0.08,0.11,0.08,0.07,0.07,0.08,0.08,0.07,0.08,0.09,0.08,0.08,0.07,0.07,0.08,0.10,0.09,0.07,0.10,0.05,0.08,0.10,0.08,0.09,0.08,0.08,0.09,0.07,0.06,0.07,0.09,0.07,0.09,0.09,0.08,0.06,0.07,0.09,0.07,0.09,0.09,0.08,0.08,0.08,0.10,0.07,0.06,0.09,0.09,0.06,0.05,0.08,0.10,0.08,0.08,0.06,0.07,0.08,0.07,0.08,0.09,0.09,0.07,0.07,0.11,0.06,0.08,0.09,0.07,0.08,0.04,0.08,0.10,0.08,0.08,0.07,0.07,0.08,0.07,0.06,0.06,0.09,0.09,0.08,0.07,0.06,0.05,0.09,0.06,0.07,0.07,0.07,0.09,0.08,0.08,0.08,0.06,0.08,0.06,0.07,0.08,0.09,0.08,0.09,0.08,0.06,0.09,0.08,0.08,0.07,0.07,0.07,0.08,0.06,0.09,0.08,0.07,0.08,0.08,0.08,0.08,0.09,0.07,0.09,0.07,0.09,0.07,0.09,0.09,0.09,0.09,0.08,0.08,0.06,0.09,0.07,0.10,0.08,0.08,0.08,0.09,0.08,0.09,0.11,0.09,0.08,0.06,0.08,0.07,0.08,0.09,0.08,0.05,0.06,0.08,0.10,0.09,0.08,0.08,0.09,0.08,0.08,0.10,0.08,0.09,0.07,0.09,0.07,0.08,0.09,0.10,0.06,0.07,0.08,0.09,0.07,0.07,0.09,0.09,0.07,0.08,0.08,0.08,0.08,0.06,0.09,0.09,0.09,0.09,0.08,0.07,0.09,0.10,0.08,0.09,0.09,0.10,0.07,0.09,0.11,0.09,0.09,0.10,0.08,0.07,0.08,0.05,0.07,0.05,0.09,0.09,0.07,0.09,0.09,0.09,0.07,0.08,0.07,0.09,0.08,0.10,0.08,0.09,0.07,0.09,0.09,0.08,0.09,0.06,0.09,0.08,0.07,0.08,0.09,0.07,0.07,0.09,0.06,0.07,0.07,0.06,0.07,0.10,0.07,0.07,0.09,0.09,0.08,0.10,0.07,0.08,0.07,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.08,0.08,0.09,0.07,0.06,0.08,0.09,0.08,0.08,0.07,0.07,0.08,0.05,0.07,0.09,0.08,0.09,0.10,0.08,0.09,0.06,0.08,0.08,0.06,0.09,0.08,0.06,0.08,0.08,0.07,0.06,0.07,0.08,0.08,0.07,0.10,0.07,0.07,0.08,0.08,0.06,0.07,0.09,0.07,0.07,0.08,0.08,0.08,0.05,0.06,0.09,0.07,0.06,0.08,0.07,0.09,0.10,0.08,0.08,0.09,0.09,0.07,0.08,0.09,0.08,0.09,0.07,0.07,0.07,0.08,0.07,0.07,0.11,0.06,0.08,0.09,0.09,0.07,0.09,0.09,0.08,0.08,0.10,0.08,0.08,0.09,0.09,0.08,0.08,0.07,0.05,0.08,0.07,0.08,0.08,0.06,0.08,0.08,0.07,0.09,0.07,0.09,0.09,0.07,0.07,0.08,0.08,0.09,0.08,0.07,0.08,0.07,0.08,0.10,0.06,0.08,0.08,0.08,0.09,0.09,0.07,0.06,0.08,0.09,0.08,0.08,0.07,0.09,0.08,0.09,0.07,0.07,0.08,0.08,0.08,0.06,0.10,0.10,0.08,0.10,0.07,0.07,0.08,0.07,0.07,0.08,0.08,0.07,0.05,0.06,0.08,0.09,0.08,0.09,0.10,0.07,0.07,0.07,0.08,0.09,0.08,0.07,0.06
