Minute,Irradiance
582,0.723
583,0.7276
584,0.7255
585,0.7222
586,0.727167
587,0.733833
588,0.7322
589,0.737333
590,0.7418
591,0.742167
592,0.7452
593,0.742667
594,0.7496
595,0.755333
596,0.759
597,0.7604
598,0.762833
599,0.7604
600,0.765833
601,0.7688
602,0.768833
603,0.7716
604,0.7745
605,0.7805
606,0.7848
607,0.786167
608,0.7516
609,0.7685
610,0.7882
611,0.790833
612,0.791333
613,0.7906
614,0.792333
615,0.7928
616,0.791167
617,0.8002
618,0.801833
619,0.8028
620,0.803333
621,0.806667
622,0.8072
623,0.805833
624,0.8074
625,0.808667
626,0.8124
627,0.816167
628,0.819667
629,0.8194
630,0.8235
631,0.8244
632,0.822
633,0.822
634,0.8235
635,0.8244
636,0.826833
637,0.8275
638,0.8284
639,0.828333
640,0.8296
641,0.8335
642,0.8382
643,0.839667
644,0.844
645,0.8448
646,0.843667
647,0.843
648,0.844833
649,0.8486
650,0.851167
651,0.851
652,0.851667
653,0.8575
654,0.86
655,0.859
656,0.8646
657,0.862
658,0.8606
659,0.8635
660,0.8638
661,0.861333
662,0.861
663,0.8634
664,0.8675
665,0.8698
666,0.867833
667,0.8702
668,0.87
669,0.874833
670,0.8748
671,0.877167
672,0.8784
673,0.879
674,0.879
675,0.881833
676,0.8806
677,0.881333
678,0.887167
679,0.8906
680,0.8875
681,0.8888
682,0.887167
683,0.8884
684,0.89
685,0.8895
686,0.8942
687,0.894
688,0.894
689,0.894333
690,0.8948
691,0.895
692,0.8936
693,0.894
694,0.8935
695,0.8922
696,0.8915
697,0.8946
698,0.894
699,0.8958
700,0.898833
701,0.9064
702,0.906667
703,0.904667
704,0.906
705,0.906
706,0.9048
707,0.900333
708,0.9044
709,0.904833
710,0.905
711,0.901333
712,0.907833
713,0.904
714,0.911667
715,0.9122
716,0.911333
717,0.9112
718,0.9145
719,0.919667
720,0.919
721,0.913667
722,0.9174
723,0.920167
724,0.9238
725,0.920667
726,0.9198
727,0.919167
728,0.919667
729,0.924
730,0.923333
731,0.9206
732,0.9225
733,0.9248
734,0.919667
735,0.9232
736,0.922667
737,0.9255
738,0.9238
739,0.923833
740,0.9242
741,0.923
742,0.9212
743,0.919833
744,0.919333
745,0.9172
746,0.919667
747,0.9164
748,0.911167
749,0.909
750,0.909333
751,0.912
752,0.914167
753,0.917333
754,0.9168
755,0.915833
756,0.9146
757,0.918667
758,0.9178
759,0.915
760,0.9124
761,0.911667
762,0.9185
763,0.9242
764,0.920667
765,0.9208
766,0.917
767,0.9164
768,0.906833
769,0.9048
770,0.903667
771,0.8925
772,0.8982
773,0.9075
774,0.916
775,0.922667
776,0.918
777,0.915
778,0.912667
779,0.9148
780,0.907333
781,0.9116
782,0.912167
783,0.909
784,0.911167
785,0.914
786,0.917167
787,0.911833
788,0.911
789,0.915167
790,0.9138
791,0.908833
792,0.9072
793,0.9085
794,0.9122
795,0.910667
796,0.910333
797,0.9038
798,0.909833
799,0.909
800,0.905167
801,0.9042
802,0.9045
803,0.902
804,0.9008
805,0.903833
806,0.9008
807,0.900667
808,0.9064
809,0.906333
810,0.9044
811,0.899167
812,0.898167
813,0.897
814,0.896
815,0.8944
816,0.891833
817,0.8924
818,0.890667
819,0.893167
820,0.896
821,0.897667
822,0.8974
823,0.894333
824,0.894
825,0.889667
826,0.8838
827,0.886667
828,0.887167
829,0.8814
830,0.884
831,0.8782
832,0.867667
833,0.8698
834,0.879
835,0.874833
836,0.8702
837,0.869667
838,0.8698
839,0.869667
840,0.868
841,0.867167
842,0.8606
843,0.8665
844,0.863667
845,0.865
846,0.864
847,0.8608
848,0.855833
849,0.8558
850,0.856833
851,0.860167
852,0.8614
853,0.856333
854,0.851
855,0.848333
856,0.852
857,0.853833
858,0.8522
859,0.845
860,0.844167
861,0.8414
862,0.839167
863,0.8392
864,0.843
865,0.8422
866,0.838167
867,0.8368
868,0.832833
869,0.827167
870,0.827
871,0.826833
872,0.8308
873,0.828
874,0.8244
875,0.821833
876,0.8218
877,0.816667
878,0.816167
879,0.8098
880,0.810667
881,0.8106
882,0.805667
883,0.81
884,0.805333
885,0.804
886,0.8015
887,0.798667
888,0.7982
889,0.799667
890,0.7962
891,0.7935
892,0.7916
893,0.789333
894,0.7906
895,0.7885
896,0.779833
897,0.7768
898,0.780333
899,0.7792
900,0.778167
901,0.7772
902,0.777833
903,0.778333
904,0.7732
905,0.7705
906,0.7696
907,0.770833
908,0.768
909,0.763333
910,0.7582
911,0.756167
912,0.754167
913,0.7532
914,0.747833
915,0.7456
916,0.746667
917,0.7488
918,0.745333
919,0.742
920,0.7402
