"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase", "I1(A)", "I2(A)", "I3(A)"
3275, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 106.868779165934, 78.3704380550186, 11.5470053837925, 12.9277695735925, 12.774081454481, 12.8813180905583 
3276, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 108.537187291322, 79.5939373469699, 11.5470053837925, 13.1295946151815, 12.9718381383658, 13.0812284873108 
3276, "Line.O3S7-O3S8", 213, 600, 100.801423127527, 35.784505210272, 0.23094010767585, 214.707031261632, 208.606759132602, 208.992849464329 
3276, "Line.O3S8-O3S9", 213, 600, 100.941847979737, 35.8343560328066, 0.23094010767585, 215.00613619684, 208.910993192452, 209.297589982032 
3276, "Line.O3S9-O3S11", 213, 600, 101.160185171768, 35.9118657359777, 0.23094010767585, 215.471194415866, 209.377837010257, 209.764975234078 
3276, "Line.LV-O4S4", 213, 600, 100.720921809835, 35.7559272424916, 0.23094010767585, 214.535563454949, 211.60579537075, 211.428375793483 
3277, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 105.677852318633, 77.4970917003311, 11.5470053837925, 12.7837047870284, 12.650680355294, 12.7394090068536 
5628, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 100.87822194729, 73.9773627613459, 11.5470053837925, 12.2031000869148, 12.0624543312581, 12.1639103088278 
6233, "Line.LV-O3S3", 213, 600, 165.328528905843, 58.6916277615743, 0.23094010767585, 146.535498462329, 161.895101641118, 159.451016313597 
6233, "Line.O3S3-O3S5", 213, 600, 165.520826266102, 58.7598933244663, 0.23094010767585, 146.600751372738, 161.895107997756, 159.451029122879 
6233, "Line.O3S5-O3S7", 213, 600, 165.596349741913, 58.7867041583792, 0.23094010767585, 146.662042967531, 162.31920041421, 159.134265665861 
6233, "Line.O3S7-O3S8", 213, 600, 164.6153764542, 58.4384586412409, 0.23094010767585, 147.171697156568, 164.819396289279, 157.541931539297 
6233, "Line.O3S8-O3S9", 213, 600, 165.134009357297, 58.6225733218404, 0.23094010767585, 147.24637882325, 165.138127047395, 157.358125617466 
6233, "Line.O3S9-O3S11", 213, 600, 163.301099576147, 57.9718903495321, 0.23094010767585, 147.375184784602, 165.638508259655, 157.094867431474 
6233, "Line.O3S11-O3S12", 213, 600, 151.161073347966, 53.6621810385279, 0.23094010767585, 138.182805029866, 154.843183342673, 147.21662125621 
6233, "Line.O3S12-O3S13", 213, 600, 112.170683330208, 39.8205925822237, 0.23094010767585, 92.561262298607, 103.749883293103, 98.5693304596774 
6233, "Line.O3S13-O3S14", 213, 600, 104.263790490363, 37.0136456240787, 0.23094010767585, 93.0257289358676, 105.127554225245, 98.1070053460534 
